bin,lower,upper,count,mean_score,observed_rate,score_type,model
0,0.0,0.1,117,0.02918798555261814,0.008547008547008548,raw,gnn
1,0.1,0.2,22,0.14706345613707195,0.18181818181818182,raw,gnn
2,0.2,0.30000000000000004,15,0.2537299225727717,0.06666666666666667,raw,gnn
3,0.30000000000000004,0.4,15,0.34510535597801206,0.5333333333333333,raw,gnn
4,0.4,0.5,14,0.4438819033758981,0.2857142857142857,raw,gnn
5,0.5,0.6000000000000001,12,0.5521186292171478,0.3333333333333333,raw,gnn
6,0.6000000000000001,0.7000000000000001,9,0.6493596500820584,0.4444444444444444,raw,gnn
7,0.7000000000000001,0.8,11,0.7458358298648488,0.6363636363636364,raw,gnn
8,0.8,0.9,12,0.8523934682210287,0.9166666666666666,raw,gnn
9,0.9,1.0,63,0.9709759789799887,0.9841269841269841,raw,gnn
0,0.0,0.1,124,0.030825862962396745,0.024193548387096774,calibrated,gnn
1,0.1,0.2,23,0.14706420757710162,0.13043478260869565,calibrated,gnn
2,0.2,0.30000000000000004,19,0.24698395982990892,0.3157894736842105,calibrated,gnn
3,0.30000000000000004,0.4,17,0.34048684863222195,0.35294117647058826,calibrated,gnn
4,0.4,0.5,15,0.4507812412612912,0.26666666666666666,calibrated,gnn
5,0.5,0.6000000000000001,8,0.5611785838078168,0.75,calibrated,gnn
6,0.6000000000000001,0.7000000000000001,10,0.6476207799956917,0.6,calibrated,gnn
7,0.7000000000000001,0.8,8,0.74982399734793,0.875,calibrated,gnn
8,0.8,0.9,19,0.8586144286532692,1.0,calibrated,gnn
9,0.9,1.0,47,0.9668340568833816,0.9787234042553191,calibrated,gnn
