model,graph_id,node,family,regime,risk_score,time,event,risk_group
gnn,2,0,ws,local,0.9349782005888975,1,1,high
gnn,2,1,ws,local,0.0520901530340286,2,1,medium
gnn,2,2,ws,local,0.46194400161633964,2,1,high
gnn,2,3,ws,local,0.9407623345194526,1,1,high
gnn,2,4,ws,local,0.9107736790115581,1,1,high
gnn,2,7,ws,local,0.8833911130095229,1,1,high
gnn,2,8,ws,local,0.847540058298376,1,1,high
gnn,2,9,ws,local,0.32385113134523225,1,1,high
gnn,2,10,ws,local,0.08034945425186844,2,1,medium
gnn,2,11,ws,local,0.020579672034967987,2,1,low
gnn,2,12,ws,local,0.022925645771812088,2,1,low
gnn,2,13,ws,local,0.025980276656122497,2,1,low
gnn,2,14,ws,local,0.01979716708664091,2,1,low
gnn,2,15,ws,local,0.24352013331466418,1,1,medium
gnn,2,16,ws,local,0.01486677810166138,2,1,low
gnn,2,17,ws,local,0.02745285031803005,2,1,medium
gnn,2,18,ws,local,0.02560351782846977,2,1,low
gnn,2,19,ws,local,0.3137540650331036,2,1,high
gnn,5,0,ws,long_range,0.01379835820730455,2,0,low
gnn,5,1,ws,long_range,0.011752461496443994,2,0,low
gnn,5,2,ws,long_range,0.015270948107773167,2,0,low
gnn,5,3,ws,long_range,0.02156462418959606,2,0,low
gnn,5,4,ws,long_range,0.015281977177573729,2,0,low
gnn,5,5,ws,long_range,0.01610885721137931,2,1,low
gnn,5,6,ws,long_range,0.016991698852385287,2,1,low
gnn,5,7,ws,long_range,0.25161083608490353,2,1,medium
gnn,5,8,ws,long_range,0.256431674595235,1,1,medium
gnn,5,9,ws,long_range,0.4863261109110451,2,1,high
gnn,5,11,ws,long_range,0.318018584952983,2,1,high
gnn,5,12,ws,long_range,0.38639156417859194,2,1,high
gnn,5,13,ws,long_range,0.3021861077054146,1,1,high
gnn,5,14,ws,long_range,0.025342892651551416,2,1,low
gnn,5,15,ws,long_range,0.01867697810836337,2,1,low
gnn,5,16,ws,long_range,0.016100807665444108,2,0,low
gnn,5,17,ws,long_range,0.09407935686085893,2,0,medium
gnn,5,18,ws,long_range,0.016016091645775533,2,0,low
gnn,5,19,ws,long_range,0.01430366063039748,2,0,low
gnn,11,0,ws,long_range,0.4874329595332399,2,1,high
gnn,11,1,ws,long_range,0.03232225376951916,2,1,medium
