threshold,precision,recall,f1,model
0.01,0.522169009732736,0.9967561191388971,0.6853203568532036,gnn
0.02,0.5669635355402454,0.9949867295782955,0.7223292656818668,gnn
0.03,0.5977951635846372,0.9914479504570923,0.7458679977814753,gnn
0.04,0.6238822652757079,0.9876142730757889,0.7646991665715265,gnn
0.05,0.6417738529468228,0.9858448835151873,0.7774418604651163,gnn
0.060000000000000005,0.6566134437216637,0.982306104393984,0.7870982986767486,gnn
0.06999999999999999,0.6703673798950344,0.9793571217929814,0.7959257040143799,gnn
0.08,0.6828765711930764,0.9772928339722796,0.8039786511402232,gnn
0.09,0.696477536384729,0.9737540548510764,0.8121003443187408,gnn
0.09999999999999999,0.7082616179001722,0.9708050722500737,0.8190073392212962,gnn
0.11,0.7160332022717344,0.96667649660867,0.8226879156732337,gnn
0.12,0.7270102176810307,0.9652020053081687,0.8293424553401748,gnn
0.13,0.7343679712100765,0.9628428192273666,0.8332270001275999,gnn
0.14,0.7422515952597994,0.9604836331465645,0.8373826970047564,gnn
0.15000000000000002,0.7480441785549931,0.9587142435859628,0.8403774072637973,gnn
0.16,0.7548882681564246,0.9563550575051607,0.8437621959151814,gnn
0.17,0.7617031286756057,0.9548805662046594,0.8474221408008374,gnn
0.18000000000000002,0.7676240208877284,0.9537009731642583,0.8506049447659126,gnn
0.19,0.7743638982237158,0.9513417870834562,0.8537779542146354,gnn
0.2,0.7797676669893514,0.9501621940430551,0.8565731755948425,gnn
0.21000000000000002,0.7849462365591398,0.9472132114420525,0.8584792195643458,gnn
0.22,0.7894996302686714,0.9445591271011501,0.8600966702470462,gnn
0.23,0.7951268025857782,0.9430846358006488,0.8628085795224606,gnn
0.24000000000000002,0.7990981963927856,0.9407254497198466,0.8641473655695516,gnn
0.25,0.8047486739075524,0.9395458566794456,0.866938775510204,gnn
0.26,0.8069018015732048,0.937776467118844,0.867430441898527,gnn
0.27,0.8105693132499362,0.9363019758183426,0.8689107827038861,gnn
0.28,0.8141865844255975,0.9342376879976408,0.8700906344410876,gnn
0.29000000000000004,0.8174767321613237,0.9324682984370393,0.8711943793911007,gnn
0.3,0.8202597402597402,0.9312887053966381,0.8722552133683192,gnn
0.31,0.8232837379274341,0.930109112356237,0.8734422597618389,gnn
0.32,0.8272512470464689,0.9292244175759363,0.8752777777777778,gnn
