model,grouping,group,independent_graphs,active_nodes,new_failures,precision,recall,f1,pr_auc
mlp,by_family,ws,45,4375,1143,0.6108597285067874,0.7086614173228346,0.6561360874848117,0.7252609927731472
mlp,by_family,er,44,4421,1181,0.5527045769764216,0.6748518204911093,0.6077011056042699,0.6424677713553337
mlp,by_family,ba,46,4514,1136,0.5877061469265368,0.6901408450704225,0.6348178137651822,0.7060211898217496
mlp,by_regime,long_range,67,6472,1875,0.6855277475516867,0.672,0.6786964718556423,0.768919127888828
mlp,by_regime,local,68,6838,1585,0.4995583038869258,0.7135646687697161,0.5876851130163678,0.6297606545416758
gnn,by_family,ws,45,4375,1143,0.9304511278195489,0.8661417322834646,0.8971454463072044,0.9697589758262124
gnn,by_family,er,44,4421,1181,0.9326241134751773,0.890770533446232,0.9112169770463404,0.9756769422787759
gnn,by_family,ba,46,4514,1136,0.8935018050541517,0.8714788732394366,0.8823529411764706,0.9580641334580942
gnn,by_regime,long_range,67,6472,1875,0.9384993849938499,0.8138666666666666,0.8717509283061983,0.9615104802136782
gnn,by_regime,local,68,6838,1585,0.899641577060932,0.9501577287066246,0.92420988033139,0.9818854468425282
hybrid,by_family,ws,45,4375,1143,0.949119373776908,0.8486439195100612,0.8960739030023095,0.9740283382153341
hybrid,by_family,er,44,4421,1181,0.9487179487179487,0.8772226926333616,0.9115706115266168,0.980238632943232
hybrid,by_family,ba,46,4514,1136,0.8864668483197093,0.8591549295774648,0.8725972284309342,0.9590049877698149
hybrid,by_regime,long_range,67,6472,1875,0.9421281891723708,0.8074666666666667,0.8696151636990236,0.9650207711848687
hybrid,by_regime,local,68,6838,1585,0.9129353233830846,0.9261829652996846,0.9195114312558722,0.9803859094171045
