model,graph_id,node,family,regime,risk_score,time,event,risk_group
hybrid,2,0,ws,local,0.9169111124841013,1,1,high
hybrid,2,1,ws,local,0.03952828008269925,2,1,medium
hybrid,2,2,ws,local,0.261308061097423,2,1,high
hybrid,2,3,ws,local,0.9376586729014977,1,1,high
hybrid,2,4,ws,local,0.8988192442097519,1,1,high
hybrid,2,7,ws,local,0.9115205533396703,1,1,high
hybrid,2,8,ws,local,0.9221913830907204,1,1,high
hybrid,2,9,ws,local,0.37465765479927565,1,1,high
hybrid,2,10,ws,local,0.07072875993555183,2,1,medium
hybrid,2,11,ws,local,0.02611204815485353,2,1,medium
hybrid,2,12,ws,local,0.03663611310458923,2,1,medium
hybrid,2,13,ws,local,0.030968983678683802,2,1,medium
hybrid,2,14,ws,local,0.030668452578469292,2,1,medium
hybrid,2,15,ws,local,0.12718669913451622,1,1,medium
hybrid,2,16,ws,local,0.018380661721678685,2,1,low
hybrid,2,17,ws,local,0.02168745508747854,2,1,low
hybrid,2,18,ws,local,0.024197054818304666,2,1,low
hybrid,2,19,ws,local,0.2930571052246947,2,1,high
hybrid,5,0,ws,long_range,0.013179345191319415,2,0,low
hybrid,5,1,ws,long_range,0.014179256165517361,2,0,low
hybrid,5,2,ws,long_range,0.01628987273084238,2,0,low
hybrid,5,3,ws,long_range,0.01883117993796084,2,0,low
hybrid,5,4,ws,long_range,0.017845482706865597,2,0,low
hybrid,5,5,ws,long_range,0.015843798651155094,2,1,low
hybrid,5,6,ws,long_range,0.01949241283307385,2,1,low
hybrid,5,7,ws,long_range,0.10587657389890305,2,1,medium
hybrid,5,8,ws,long_range,0.14336945664369452,1,1,medium
hybrid,5,9,ws,long_range,0.21130214009673445,2,1,high
hybrid,5,11,ws,long_range,0.15523520784900158,2,1,medium
hybrid,5,12,ws,long_range,0.17523760677141018,2,1,high
hybrid,5,13,ws,long_range,0.16516949088664162,1,1,medium
hybrid,5,14,ws,long_range,0.023893736896300335,2,1,low
hybrid,5,15,ws,long_range,0.018873875541544537,2,1,low
hybrid,5,16,ws,long_range,0.019262539398488945,2,0,low
hybrid,5,17,ws,long_range,0.06625605996798682,2,0,medium
hybrid,5,18,ws,long_range,0.02207536746183551,2,0,low
hybrid,5,19,ws,long_range,0.016741663091848533,2,0,low
hybrid,11,0,ws,long_range,0.25556563608160493,2,1,high
hybrid,11,1,ws,long_range,0.019372376690169273,2,1,low
hybrid,11,2,ws,long_range,0.2903857535202686,1,1,high
hybrid,11,3,ws,long_range,0.3326979131701733,1,1,high
hybrid,11,4,ws,long_range,0.4968741725421761,1,1,high
hybrid,11,6,ws,long_range,0.9672404073249815,1,1,high
hybrid,11,8,ws,long_range,0.6971241013553311,1,1,high
hybrid,11,9,ws,long_range,0.5059482901577262,1,1,high
hybrid,11,10,ws,long_range,0.3746411417279493,1,1,high
hybrid,11,11,ws,long_range,0.24950612219696608,1,1,high
hybrid,11,12,ws,long_range,0.027474192049627363,2,1,medium
hybrid,11,13,ws,long_range,0.024659809493662966,2,1,low
hybrid,11,14,ws,long_range,0.021573516100154132,2,1,low
hybrid,11,15,ws,long_range,0.01636534280764838,2,1,low
hybrid,11,16,ws,long_range,0.020769046534681226,2,1,low
hybrid,11,17,ws,long_range,0.022237057059718825,2,1,low
hybrid,11,18,ws,long_range,0.17045998908606635,1,1,medium
hybrid,11,19,ws,long_range,0.024234452191592416,2,1,low
hybrid,21,0,er,long_range,0.21787479403795024,2,1,high
hybrid,21,1,er,long_range,0.362506982559245,1,1,high
hybrid,21,2,er,long_range,0.17037627419126172,2,1,medium
hybrid,21,3,er,long_range,0.6244074582423872,2,1,high
hybrid,21,6,er,long_range,0.371088419488573,1,1,high
hybrid,21,7,er,long_range,0.05703946040773387,2,1,medium
hybrid,21,8,er,long_range,0.8306293667857271,1,1,high
hybrid,21,9,er,long_range,0.5254666033091918,1,1,high
hybrid,21,10,er,long_range,0.027190693693159695,2,1,medium
hybrid,21,11,er,long_range,0.020588324481517217,2,1,low
hybrid,21,12,er,long_range,0.1723385029421021,2,1,medium
hybrid,21,13,er,long_range,0.11190320379005954,1,1,medium
hybrid,21,14,er,long_range,0.9328648854559077,1,1,high
hybrid,21,15,er,long_range,0.1582317910580759,2,1,medium
hybrid,21,16,er,long_range,0.02491388491858326,2,1,low
hybrid,21,17,er,long_range,0.026249922563458525,2,1,medium
hybrid,21,18,er,long_range,0.04124346756396473,2,1,medium
hybrid,21,19,er,long_range,0.2634925043666445,1,1,high
hybrid,25,1,ba,local,0.06582064866846965,2,0,medium
hybrid,25,2,ba,local,0.948302735083982,2,1,high
hybrid,25,3,ba,local,0.6657532454732152,2,0,high
hybrid,25,4,ba,local,0.14535473529500897,2,0,medium
hybrid,25,5,ba,local,0.11799973087294278,2,0,medium
hybrid,25,7,ba,local,0.1850977128198196,2,0,high
hybrid,25,8,ba,local,0.09759115416853467,2,0,medium
hybrid,25,9,ba,local,0.05722773977233027,2,0,medium
hybrid,25,10,ba,local,0.09426691248596096,2,0,medium
hybrid,25,11,ba,local,0.13112588500404793,2,0,medium
hybrid,25,12,ba,local,0.23627782909944817,2,0,high
hybrid,25,13,ba,local,0.5821110028489851,2,0,high
hybrid,25,14,ba,local,0.027152727911906826,2,0,medium
hybrid,25,15,ba,local,0.19199151576540208,2,0,high
hybrid,25,16,ba,local,0.9483027466403825,1,1,high
hybrid,25,17,ba,local,0.03631677681466636,2,0,medium
hybrid,25,18,ba,local,0.022244223351572442,2,0,low
hybrid,25,19,ba,local,0.17512146051475494,2,0,medium
hybrid,31,0,ba,local,0.16592312092456815,1,1,medium
hybrid,31,1,ba,local,0.9459746420690168,1,1,high
hybrid,31,2,ba,local,0.022540262371274475,2,0,low
hybrid,31,4,ba,local,0.27496235956533666,1,1,high
hybrid,31,5,ba,local,0.3019879293349503,1,1,high
hybrid,31,6,ba,local,0.024847280515266922,2,1,low
hybrid,31,7,ba,local,0.04392443507153857,2,1,medium
hybrid,31,8,ba,local,0.03453597397730128,2,0,medium
hybrid,31,9,ba,local,0.02803489253404135,2,0,medium
hybrid,31,10,ba,local,0.8028099351071363,1,1,high
hybrid,31,11,ba,local,0.021197057917717733,2,1,low
hybrid,31,12,ba,local,0.02522749952318509,2,1,medium
hybrid,31,13,ba,local,0.46354098801192173,1,1,high
hybrid,31,14,ba,local,0.0279489934556229,2,0,medium
hybrid,31,16,ba,local,0.016547847440455676,2,1,low
