bin,lower,upper,count,mean_score,observed_rate,score_type,model
0,0.0,0.1,5,0.07768386974930763,0.2,raw,mlp
1,0.1,0.2,27,0.1558423732165937,0.25925925925925924,raw,mlp
2,0.2,0.30000000000000004,53,0.25438800650947496,0.18867924528301888,raw,mlp
3,0.30000000000000004,0.4,55,0.34931429732929575,0.36363636363636365,raw,mlp
4,0.4,0.5,64,0.45203931676223874,0.390625,raw,mlp
5,0.5,0.6000000000000001,52,0.5451139051180619,0.4807692307692308,raw,mlp
6,0.6000000000000001,0.7000000000000001,22,0.6530445136807181,0.5,raw,mlp
7,0.7000000000000001,0.8,12,0.7426804850498835,0.5833333333333334,raw,mlp
8,0.8,0.9,0,,,raw,mlp
9,0.9,1.0,0,,,raw,mlp
0,0.0,0.1,0,,,calibrated,mlp
1,0.1,0.2,9,0.1738412279966022,0.2222222222222222,calibrated,mlp
2,0.2,0.30000000000000004,64,0.26172990719066475,0.1875,calibrated,mlp
3,0.30000000000000004,0.4,109,0.3522346193898185,0.3761467889908257,calibrated,mlp
4,0.4,0.5,84,0.4379186223036957,0.4642857142857143,calibrated,mlp
5,0.5,0.6000000000000001,24,0.5365424787617529,0.5,calibrated,mlp
6,0.6000000000000001,0.7000000000000001,0,,,calibrated,mlp
7,0.7000000000000001,0.8,0,,,calibrated,mlp
8,0.8,0.9,0,,,calibrated,mlp
9,0.9,1.0,0,,,calibrated,mlp
