bin,count,mean_score,observed_rate,score_type,model
0,8679,0.008911546171618325,0.010139416983523447,raw,gnn
1,468,0.14652113385625884,0.12393162393162394,raw,gnn
2,283,0.24607408820740326,0.24028268551236748,raw,gnn
3,207,0.3477185660802224,0.30434782608695654,raw,gnn
4,191,0.445976333000273,0.36649214659685864,raw,gnn
5,167,0.5496418815173075,0.4550898203592814,raw,gnn
6,187,0.6511537120304006,0.5347593582887701,raw,gnn
7,193,0.7531618695184974,0.6580310880829016,raw,gnn
8,267,0.8518786399105515,0.7677902621722846,raw,gnn
9,2668,0.988591045766756,0.9763868065967016,raw,gnn
0,8728,0.010443784691975202,0.010311640696608617,calibrated,gnn
1,554,0.1452120073920281,0.14981949458483754,calibrated,gnn
2,309,0.24637630115823841,0.2750809061488673,calibrated,gnn
3,245,0.3472285605604781,0.37142857142857144,calibrated,gnn
4,197,0.4498630394771967,0.4467005076142132,calibrated,gnn
5,191,0.5479006764894274,0.5916230366492147,calibrated,gnn
6,194,0.6513419669076445,0.6494845360824743,calibrated,gnn
7,204,0.7501891902780412,0.7941176470588235,calibrated,gnn
8,292,0.8565770693797933,0.8698630136986302,calibrated,gnn
9,2396,0.9857737167258103,0.988313856427379,calibrated,gnn
