bin,count,mean_score,observed_rate,score_type,model
0,8422,0.009234176535062963,0.004037045832343861,raw,hybrid
1,480,0.14653397480336328,0.09375,raw,hybrid
2,280,0.24501968553023679,0.125,raw,hybrid
3,204,0.348943938081171,0.22549019607843138,raw,hybrid
4,196,0.44701350145802204,0.33163265306122447,raw,hybrid
5,181,0.5523732176143161,0.40331491712707185,raw,hybrid
6,208,0.6469688882621435,0.5048076923076923,raw,hybrid
7,254,0.7516690288472363,0.6141732283464567,raw,hybrid
8,310,0.853125790626772,0.6516129032258065,raw,hybrid
9,2775,0.9879411040555249,0.9726126126126126,raw,hybrid
0,8809,0.008620362314081732,0.0074923373822227265,calibrated,hybrid
1,455,0.14239947434203878,0.13406593406593406,calibrated,hybrid
2,272,0.2480349892338039,0.3014705882352941,calibrated,hybrid
3,212,0.35042601730764156,0.3867924528301887,calibrated,hybrid
4,204,0.4461689701558655,0.5098039215686274,calibrated,hybrid
5,203,0.5508362918302886,0.5763546798029556,calibrated,hybrid
6,197,0.6486543452891828,0.6345177664974619,calibrated,hybrid
7,215,0.7507697119197587,0.7023255813953488,calibrated,hybrid
8,289,0.8540474271232656,0.8719723183391004,calibrated,hybrid
9,2454,0.9872866356713237,0.9861450692746536,calibrated,hybrid
