bin,count,mean_score,observed_rate,score_type,model
0,4311,0.04657811415969072,0.05729529111575041,raw,mlp
1,2027,0.14398174647647993,0.10606808090774544,raw,mlp
2,1196,0.24737223932974314,0.17474916387959866,raw,mlp
3,891,0.3476826424483632,0.21773288439955107,raw,mlp
4,713,0.44902122827432267,0.26367461430575034,raw,mlp
5,671,0.549972032736737,0.32190760059612517,raw,mlp
6,641,0.652399279119072,0.37285491419656785,raw,mlp
7,611,0.7488101283774243,0.46481178396072015,raw,mlp
8,786,0.8512079407847262,0.6055979643765903,raw,mlp
9,1463,0.9605212521243405,0.8147641831852358,raw,mlp
0,4455,0.058390073637823565,0.0590347923681257,calibrated,mlp
1,3062,0.14347149969660314,0.1325930764206401,calibrated,mlp
2,1606,0.2458033392535452,0.23599003735990037,calibrated,mlp
3,1082,0.3467551209081835,0.32809611829944546,calibrated,mlp
4,801,0.44513085069367875,0.4419475655430712,calibrated,mlp
5,666,0.5497253099376352,0.5870870870870871,calibrated,mlp
6,519,0.6506562343357177,0.7109826589595376,calibrated,mlp
7,475,0.7506928537960963,0.7705263157894737,calibrated,mlp
8,415,0.8478730215648506,0.8698795180722891,calibrated,mlp
9,229,0.9352881438254999,0.9432314410480349,calibrated,mlp
