model,grouping,group,independent_graphs,active_nodes,new_failures,prevalence,precision,recall,f1,pr_auc,cost_per_active_node
mlp,by_family,ws,45,4375,1143,0.26125714285714285,0.46089773253123556,0.8713910761154856,0.6029055690072639,0.7252609927731472,0.4342857142857143
mlp,by_family,er,44,4421,1181,0.267134132549197,0.42316064431867656,0.8230313293818797,0.5589419206440484,0.6424677713553337,0.5360778104501244
mlp,by_family,ba,46,4514,1136,0.2516614975631369,0.4610485056344929,0.8283450704225352,0.5923827510229777,0.7060211898217496,0.4596809924678777
mlp,by_regime,long_range,67,6472,1875,0.2897095179233622,0.5212060967528165,0.8389333333333333,0.6429593296546087,0.768919127888828,0.4565822002472188
mlp,by_regime,local,68,6838,1585,0.23179292190699036,0.38379775926457915,0.8429022082018928,0.5274378207658903,0.6297606545416758,0.49575899385785316
gnn,by_family,ws,45,4375,1143,0.26125714285714285,0.8371913580246914,0.9492563429571304,0.8897088970889709,0.9697589758262123,0.11451428571428571
gnn,by_family,er,44,4421,1181,0.267134132549197,0.8351810790835181,0.9568162574089755,0.8918705603788477,0.9756769342808491,0.10812033476589007
gnn,by_family,ba,46,4514,1136,0.2516614975631369,0.7271523178807947,0.9665492957746479,0.8299319727891157,0.9580641334580942,0.1333628710677891
gnn,by_regime,long_range,67,6472,1875,0.2897095179233622,0.8273073263558516,0.9274666666666667,0.874528539099824,0.9615104767319355,0.1611557478368356
gnn,by_regime,local,68,6838,1585,0.23179292190699036,0.7651920272241128,0.9930599369085173,0.8643602416254805,0.9818854460592754,0.07867797601637906
hybrid,by_family,ws,45,4375,1143,0.26125714285714285,0.8171091445427728,0.9693788276465442,0.8867547018807523,0.9740283382153342,0.09668571428571429
hybrid,by_family,er,44,4421,1181,0.267134132549197,0.8425312729948492,0.9695173581710415,0.9015748031496063,0.980238622881475,0.08912010857272111
hybrid,by_family,ba,46,4514,1136,0.2516614975631369,0.7498300475866757,0.9709507042253521,0.8461833525124665,0.9590049807696186,0.11807709348692955
hybrid,by_regime,long_range,67,6472,1875,0.2897095179233622,0.8021631365479945,0.9493333333333334,0.8695652173913043,0.9650207699449278,0.14122373300370827
hybrid,by_regime,local,68,6838,1585,0.23179292190699036,0.8012201321809863,0.9943217665615142,0.8873873873873874,0.9803859094171045,0.06376133372331091
